product_name,predicted_sub_category,category,source,confidence,sub_confidence,timestamp,corrected
Craft Beer,Craft Beer,Beer,seed,,,2026-05-11T13:29:43,False
Flavored Hard Beverages,Flavored Hard Beverages,Hard Beverage,seed,,,2026-05-11T13:29:43,False
Ready to Drink,Ready to Drink,Hard Beverage,seed,,,2026-05-11T13:29:43,False
Hard Seltzers,Hard Seltzers,Hard Beverage,seed,,,2026-05-11T13:29:43,False
Non-alcoholic Beer,Non-alcoholic Beer,Non-alcoholic Beer,seed,,,2026-05-11T13:29:43,False
Light Lager,Light Lager,Beer,seed,,,2026-05-11T13:29:43,False
Classic Lager,Classic Lager,Beer,seed,,,2026-05-11T13:29:43,False
Variety Packs,Variety Packs,Beer,seed,,,2026-05-11T13:29:43,False
Cider,Cider,Hard Beverage,seed,,,2026-05-11T13:29:43,False
Angry Orchard Rose-6pk-12oz Btls,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.4081632653061224,2026-05-22T10:56:41,False
Corona Extra-24oz Can,Craft Beer,Beer,llm,0.8,0.3636363636363636,2026-05-22T11:09:43,False
Domaine Presidente Chateauneuf du Pape Blanc-750ml,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3529411764705882,2026-05-22T11:10:26,False
Four Peaks Bad Birdie-1/6 Keg,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3829787234042554,2026-05-22T11:10:56,False
Bud Light Lime Mang-O-Rita Sparkling Margarita 25 fl oz,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3174603174603174,2026-05-22T10:57:01,False
Ghost Hawk Eradicator-4pk-16oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3461538461538461,2026-05-22T11:11:49,False
Ghost Town Seasonal 1-4pk-16oz Cans,Ready to Drink,Hard Beverage,llm,0.6,0.3255813953488372,2026-05-22T11:12:00,False
Four Peaks Cosmic Daydream-6pk-12oz Btls,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3157894736842105,2026-05-22T11:11:03,False
Corona Bluetooth Can Speaker,Hard Seltzers,Hard Beverage,llm,0.2,0.3902439024390244,2026-05-22T11:09:27,False
Corona Extra Coronita-24-7oz Btls,Craft Beer,Beer,llm,0.8,0.3529411764705882,2026-05-22T11:09:31,False
DNU Michelob Ultra Pomegranate-12pk-12oz Cans,Classic Lager,Beer,llm,0.8,0.3555555555555555,2026-05-22T11:10:18,False
Cisco Grey Lady-4pk-16oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.391304347826087,2026-05-22T10:57:36,False
Golden Road Strawberry Daiquiri Hard Smoothie-4pk-12oz Cans,Hard Seltzers,Hard Beverage,llm,0.9,0.4705882352941177,2026-05-22T11:12:39,False
Angry Orchard Forbidden Fruit Orchard Sangria-4pk-12oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3823529411764705,2026-05-22T10:56:40,False
Golden Road Street Cart-19oz cans,Ready to Drink,Hard Beverage,llm,0.6,0.3720930232558139,2026-05-22T11:12:46,False
Coors Light In Bottles - 12-12 FZ,Craft Beer,Beer,llm,0.8,0.3243243243243243,2026-05-22T10:57:51,False
Corona Extra Holiday Slim Can-12pk-12oz Cans,Classic Lager,Beer,llm,0.8,0.3181818181818181,2026-05-22T11:09:33,False
Golden Road Fuit Cart Mixer - 15-12 Fl. Oz.,Ready to Drink,Hard Beverage,llm,0.6,0.2857142857142857,2026-05-22T11:12:11,False
Goose Island 312 Lemonade Shandy-15pk-12oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3809523809523809,2026-05-22T11:12:50,False
Estrella Jalisco Spicy Pina Michelada-25oz Can,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3076923076923077,2026-05-22T11:10:42,False
Fay Hallam - Corona - Rock - CD,Ready to Drink,Hard Beverage,llm,0.2,0.3902439024390244,2026-05-22T11:10:49,False
Corona Extra-12pk-12oz Btls,Craft Beer,Beer,llm,0.8,0.4347826086956521,2026-05-22T11:09:38,False
Corona Familiar-32oz Btl,Craft Beer,Beer,llm,0.8,0.4,2026-05-22T11:09:56,False
Four Peaks Bad Birdie In Cans - 19.2 FZ,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3225806451612903,2026-05-22T11:10:53,False
Corona Extra-1/4 Keg,Craft Beer,Beer,llm,0.8,0.4,2026-05-22T11:09:35,False
Four Peaks The Joy Bus Wow-12pk-12oz Btls,Variety Packs,Beer,llm,0.8,0.2553191489361703,2026-05-22T11:11:32,False
Topo Chico Sabores Raspberry Lemon - 12 Oz,Non-alcoholic Beer,Non-alcoholic Beer,llm,0.2,0.2592592592592592,2026-05-22T10:56:45,False
Golden Road Oktoberfest Bier Cans - 6-12 Fl. Oz.,Craft Beer,Beer,llm,0.8,0.32,2026-05-22T11:12:28,False
Beats Senses Mixed Berry-7.5oz Can,Hard Seltzers,Hard Beverage,llm,0.6,0.3636363636363636,2026-05-22T10:56:47,False
Budweiser Select 55-12pk-12oz Cans,Craft Beer,Beer,llm,0.8,0.4666666666666666,2026-05-22T10:57:19,False
Golden Road Street Cart-12pk-12oz Cans,Ready to Drink,Hard Beverage,llm,0.4,0.3555555555555555,2026-05-22T11:12:43,False
Corona del Valle Malbec-750ml,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3404255319148936,2026-05-22T11:10:12,False
Corona Extra-24oz btl,Craft Beer,Beer,llm,0.8,0.4545454545454545,2026-05-22T11:09:47,False
Ghost Hawk Ravendark-4pk-16oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3921568627450981,2026-05-22T11:11:51,False
Golden Road Mango Cart-12pk-12oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3773584905660377,2026-05-22T11:12:23,False
Estrella Jalisco-6pk-16oz Cans,Light Lager,Beer,llm,0.8,0.3428571428571429,2026-05-22T11:10:46,False
Devils Backbone O'Fest-12pk-12oz Cans,Variety Packs,Beer,llm,0.8,0.4186046511627907,2026-05-22T11:10:23,False
Golden Road Pina Colada Hard Smoothie-4pk-12oz Cans,Hard Seltzers,Hard Beverage,llm,0.7,0.4705882352941177,2026-05-22T11:12:30,False
Four Peaks Masskrug Monsoon-6pk-12oz Btls,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3103448275862068,2026-05-22T11:11:14,False
Golden Road Mango Cart-25oz Can,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.36,2026-05-22T11:12:25,False
Corona aus Sicht eines Okkultisten,Hard Seltzers,Hard Beverage,llm,0.4,0.3404255319148936,2026-05-22T11:10:07,False
Elysian Split Shot-1/6 Keg,Hard Seltzers,Hard Beverage,llm,0.6,0.2941176470588235,2026-05-22T11:10:35,False
Coors Light Retro Box-24-12oz Btls,Variety Packs,Beer,llm,0.9,0.3243243243243243,2026-05-22T10:57:56,False
Angry Orchard Imperial-6pk-12oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.4150943396226415,2026-05-22T10:56:40,False
Budweiser Bottle,Craft Beer,Beer,llm,0.8,0.3076923076923077,2026-05-22T10:57:06,False
Angry Orchard Imperial-6pk-12oz Btls,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.4150943396226415,2026-05-22T10:56:40,False
Coors Light-18-12oz Cans,Classic Lager,Beer,llm,0.9,0.3571428571428571,2026-05-22T10:58:22,False
Coors Light-12pk-12oz Btls,Craft Beer,Beer,llm,0.9,0.3636363636363636,2026-05-22T10:58:05,False
"Franziskaner Hefeweizen, 6 Pack 12 fl. oz. Bottles, 5% ABV",Variety Packs,Beer,llm,0.9,0.2545454545454545,2026-05-22T11:11:42,False
Four Peaks Kilty Pleasures-12pk-12oz Btls,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3508771929824562,2026-05-22T11:11:12,False
Topo Chico Sabores Lime with Mint Extract 12oz 8pk,Non-alcoholic Beer,Non-alcoholic Beer,llm,0.2,0.2711864406779661,2026-05-22T10:56:44,False
Four Peaks Pub Pack-15pk-12oz Cans,Variety Packs,Beer,llm,0.8,0.3,2026-05-22T11:11:19,False
Franziskaner Imported Premium Hefeweizen Weissbier Bottles,Classic Lager,Beer,llm,0.9,0.2592592592592592,2026-05-22T11:11:44,False
Corona Extra-12pk-12oz Cans,Classic Lager,Beer,llm,0.8,0.3846153846153846,2026-05-22T11:09:40,False
Coors Light-24-8oz Cans,Classic Lager,Beer,llm,0.9,0.3571428571428571,2026-05-22T10:58:43,False
NUTRL Peach Vodka Seltzer 4 pack 12 fl oz Cans 4.5% ABV,Hard Seltzers,Hard Beverage,llm,0.9,0.3846153846153846,2026-05-11T13:57:00,False
Coors Light Keg-1/2 Keg,Variety Packs,Beer,llm,0.9,0.32,2026-05-22T10:57:53,False
Alvarium Hurricane-4pk-16oz Cans,Ready to Drink,Hard Beverage,llm,0.6,0.3,2026-05-22T10:56:46,False
"Domaine de la Presidente Chateauneuf du Pape Nonciature Blanc, 2022-750ml",Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3296703296703296,2026-05-22T11:10:28,False
Four Peaks Pub Pack In Can - 15-12 Fl. Oz.,Ready to Drink,Hard Beverage,llm,0.6,0.3333333333333332,2026-05-22T11:11:17,False
Four Peaks Kilt Lifter-12pk-12oz Btls,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.339622641509434,2026-05-22T11:11:07,False
Estrella Jalisco Mango Michelada-8pk-12oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3492063492063492,2026-05-22T11:10:40,False
Corona Refresca Guava Hard Tropical Punch 4.5% ABV Can - 24 Fl. Oz.,Hard Seltzers,Hard Beverage,llm,0.8,0.4705882352941177,2026-05-22T11:10:01,False
Four Peaks The Joy Bus Wow-6pk-12oz Cans,Craft Beer,Beer,llm,0.8,0.2727272727272726,2026-05-22T11:11:35,False
Bud Light 4.2% ABV Lime In Can - 25 Fl. Oz.,Classic Lager,Beer,llm,0.9,0.2926829268292683,2026-05-22T10:56:48,False
Corona New Mexico 4 X 2.25-Inch Vinyl Decal Stiker Retro Neon Design,Ready to Drink,Hard Beverage,llm,0.3,0.2702702702702703,2026-05-22T11:09:58,False
Four Peaks Bad Birdie-15pk-12oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3846153846153846,2026-05-22T11:10:58,False
Golden Road Fruit Cart Mixer-15pk-12oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3050847457627118,2026-05-22T11:12:09,False
Goose Island 312 Urban Wheat-15pk-12oz Cans,Classic Lager,Beer,llm,0.9,0.3265306122448979,2026-05-22T11:12:59,False
Corona Bluetooth Bottle Speaker,Flavored Hard Beverages,Hard Beverage,llm,0.4,0.3333333333333332,2026-05-22T11:09:24,False
Corona Familiar-24oz Can,Classic Lager,Beer,llm,0.8,0.4242424242424242,2026-05-22T11:09:54,False
Coors Light-36-12oz Cans,Classic Lager,Beer,llm,0.9,0.3571428571428571,2026-05-22T10:58:50,False
Coors Light-1/2 Keg,Craft Beer,Beer,llm,0.9,0.3157894736842105,2026-05-22T10:57:58,False
Corona Extra-24oz Can - 3 pack,Craft Beer,Beer,llm,0.8,0.3636363636363636,2026-05-22T11:09:45,False
Corona durchschreiten,Hard Seltzers,Hard Beverage,llm,0.4,0.3529411764705882,2026-05-22T11:10:14,False
Coors Light-24-10oz Can,Classic Lager,Beer,llm,0.9,0.2962962962962963,2026-05-22T10:58:31,False
Goose Island 312 Urban Wheat-12pk-12oz Btls,Light Lager,Beer,llm,0.8,0.2978723404255319,2026-05-22T11:12:57,False
Golden Road Belgian White-12pk-12oz Btls,Light Lager,Beer,llm,0.8,0.3636363636363636,2026-05-22T11:12:02,False
BeatBox Wine Cocktail Cherry Limeade (16.9 fl oz),Flavored Hard Beverages,Hard Beverage,llm,0.6,0.303030303030303,2026-05-11T13:57:01,False
Coors Light-20-12oz Cans,Classic Lager,Beer,llm,0.9,0.3571428571428571,2026-05-22T10:58:29,False
Corona Tropical Ss Pint 16oz - EA,Ready to Drink,Hard Beverage,llm,0.6,0.3809523809523809,2026-05-22T11:10:05,False
Cisco Downhill Shredski-4pk-16oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3333333333333332,2026-05-22T10:57:31,False
Golden Road Street Cart In Cans - 6-12 Fl. Oz.,Ready to Drink,Hard Beverage,llm,0.6,0.3461538461538461,2026-05-22T11:12:41,False
Four Peaks Bad Birdie In Cans - 15-12FZ,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3225806451612903,2026-05-22T11:10:51,False
Corona 5 ft. round,Ready to Drink,Hard Beverage,llm,0.2,0.375,2026-05-22T11:09:22,False
Four Peaks Double Knot DIPA-6pk-12oz Btls,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3103448275862068,2026-05-22T11:11:05,False
Golden Road Wolf Among The Weeds-6pk-12oz Cans,Ready to Drink,Hard Beverage,llm,0.6,0.3333333333333332,2026-05-22T11:12:48,False
Angry Orchard Crisp Light-6pk-12oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.4081632653061224,2026-05-22T10:56:40,False
White Claw Pineapple 6 Pack Can-6pk-12oz Cans,Hard Seltzers,Hard Beverage,llm,0.7,0.3111111111111111,2026-05-22T10:56:46,False
Ghost Hawk Updraft Maibock-4pk-16oz Cans,Classic Lager,Beer,llm,0.8,0.3404255319148936,2026-05-22T11:11:55,False
Four Peaks The Joy Bus Wow Wheat In Cans - 15-12 Fl. Oz.,Variety Packs,Beer,llm,0.8,0.2295081967213114,2026-05-22T11:11:30,False
Topo Chico Hard Margarita Variety 12pk 12oz can,Hard Seltzers,Hard Beverage,llm,0.8,0.4705882352941177,2026-05-22T10:56:43,False
Estrella Jalisco-6pk-12oz Btls,Light Lager,Beer,llm,0.8,0.3428571428571429,2026-05-22T11:10:44,False
Coors Light-4pk-16oz Cans,Classic Lager,Beer,llm,0.9,0.4,2026-05-22T10:58:52,False
Beck's-12pk-12oz Btls,Variety Packs,Beer,llm,0.8,0.3703703703703704,2026-05-22T10:56:47,False
Golden Road Guava Cart-6pk-12oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3773584905660377,2026-05-22T11:12:13,False
Coors Light-15-16oz AlmBtls,Craft Beer,Beer,llm,0.8,0.2857142857142857,2026-05-22T10:58:14,False
Bud Light LSU Alum Bottle-20-16ozAlmBtl,Craft Beer,Beer,llm,0.8,0.186046511627907,2026-05-22T10:56:53,False
Four Peaks Wow Wheat-1/6 Keg,Variety Packs,Beer,llm,0.8,0.3888888888888888,2026-05-22T11:11:37,False
Four Peaks Bad Birdie-19.2oz Can,Ready to Drink,Hard Beverage,llm,0.6,0.3720930232558139,2026-05-22T11:11:00,False
Corona Refresca Mas Tropical Berry-24oz Can,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3548387096774194,2026-05-22T11:10:03,False
Topo Chico® Sabores Passionfruit Sparkling Water Cans 12 oz,Non-alcoholic Beer,Non-alcoholic Beer,llm,0.2,0.1971830985915492,2026-05-22T10:56:45,False
Budweiser Gift Pack-12oz 6-Pack Bottle Gift,Variety Packs,Beer,llm,0.8,0.3404255319148936,2026-05-22T10:57:14,False
Corona Extra-4pk-16oz Cans,Classic Lager,Beer,llm,0.8,0.3846153846153846,2026-05-22T11:09:49,False
Four Peaks Kilt Lifter-15pk-12oz Cans,Hard Seltzers,Hard Beverage,llm,0.6,0.3720930232558139,2026-05-22T11:11:10,False
Danish National Girls Choir - Corona - Music & Performance - CD,Ready to Drink,Hard Beverage,llm,0.2,0.2465753424657533,2026-05-22T11:10:21,False
Goose Island 312 Shandy Variety-12pk-12oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3548387096774194,2026-05-22T11:12:52,False
Coors Light-6pk-8oz Cans,Classic Lager,Beer,llm,0.9,0.4,2026-05-22T10:59:04,False
Golden Road Christmas Cart-6pk-12oz Cans,Classic Lager,Beer,llm,0.8,0.3829787234042554,2026-05-22T11:12:07,False
Busch 18 pack 12 oz cans,Craft Beer,Beer,llm,0.8,0.4,2026-05-22T10:56:41,False
Golden Road Spicy Mango Cart-6pk-12oz Cans,Flavored Hard Beverages,Hard Beverage,llm,0.6,0.3389830508474575,2026-05-22T11:12:35,False
Four Peaks The Joy Bus Wow Wheat Bottles - 12-12 Fl. Oz.,Variety Packs,Beer,llm,0.7,0.2295081967213114,2026-05-22T11:11:28,False
Bud Light Platinum Bottles - 18-12 Fl. Oz.,Craft Beer,Beer,llm,0.8,0.263157894736842,2026-05-22T10:57:03,False
