product_id,product_name,predicted_category,predicted_sub_category,category_confidence,sub_category_confidence,category_source,sub_category_source,needs_review
970058039,Angry Orchard Crisp Apple Can - 24 FZ,Hard Beverage,Flavored Hard Beverages,1.0,0.4,dataset,fallback,NO
24799104,"Angry Orchard Crisp Apple Craft Hard Cider, 6 pack, 12 fl oz Glass Bottles, 5% ABV",Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
b396101e-ceb3-5962-a8d2-e7ef6c29776c,Angry Orchard Crisp Apple Hard Cider (12 x 12 fl oz),Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
0008769282102,Angry Orchard Crisp Apple Hard Cider Beer,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
0008769200540,Angry Orchard Crisp Apple Hard Cider Beer,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
0008769200033,Angry Orchard Crisp Apple Hard Cider Beer,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
33662,Angry Orchard Crisp Apple Hard Cider Beer 12 fl oz,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
16315472,Angry Orchard Crisp Apple Hard Cider Beer 12 fl oz,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
23569837,"Angry Orchard Crisp Apple Hard Cider, 12 pack, 12 fl oz Glass Bottles, 5% ABV",Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
118160901-3,Angry Orchard Crisp Apple Hard Cider-1/2 Keg,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
118160903-3,Angry Orchard Crisp Apple Hard Cider-1/6 Keg,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
118160127-2,Angry Orchard Crisp Apple Hard Cider-12pk-12oz Btls,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
118159127-2,Angry Orchard Crisp Apple Hard Cider-12pk-12oz Cans,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
118161230-1,Angry Orchard Crisp Apple Hard Cider-24oz Can,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
118160126-2,Angry Orchard Crisp Apple Hard Cider-6pk-12oz Btls,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
118159121-2,Angry Orchard Crisp Apple Hard Cider-6pk-12oz Cans,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
0008769201791,Angry Orchard Crisp Imperial Hard Cider Beer,Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
24c3554e-1bac-5509-bcd0-9327cd5abdf4,Angry Orchard Crisp Imperial Hard Cider Beer (6 x 12 fl oz),Hard Beverage,Cider,1.0,0.92,dataset,keyword,NO
33268289,Angry Orchard Crisp Imperial Hard Cider Beer 12 fl oz,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
0008769201789,Angry Orchard Crisp Light Apple Hard Cider Beer,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
40924473,Angry Orchard Crisp Light Apple Hard Cider Beer 12 fl oz,Hard Beverage,Cider,1.0,0.92,batch_cache,keyword,YES
970746440,Angry Orchard Crisp Light In Cans - 6-12 Fl. Oz.,Hard Beverage,Flavored Hard Beverages,1.0,0.3492,dataset,fallback,NO
2126244280-2,Angry Orchard Crisp Light-6pk-12oz Cans,Hard Beverage,Flavored Hard Beverages,1.0,0.3929,dataset,fallback,NO
